dataset,f1,cover
apple,0.1032609,0.2006088
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.4496124,0.5162283
brent_spot,0.2393162,0.4670973
businv,0.2702703,0.5458785
centralia,0.9090909,0.6119047
children_per_woman,0.4047619,0.6967741
co2_canada,0.7573553,0.5638574
construction,0.6341463,0.3854148
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8181818,0.4329054
gdp_croatia,1.0,0.8016666
gdp_iran,0.6052632,0.5518787
gdp_japan,1.0,0.7310345
global_co2,0.9285715,0.7431333
homeruns,0.7368422,0.5259444
iceland_tourism,0.9473684,0.9460216
jfk_passengers,0.5257143,0.5606326
lga_passengers,0.5073204,0.4686856
measles,0.9473684,0.9511853
nile,1.0,0.86472
occupancy,0.844138,0.5777348
ozone,0.9655172,0.8518518
quality_control_1,0.5,0.6365904
quality_control_2,0.75,0.6382524
quality_control_3,0.5,0.4745548
quality_control_4,0.4383562,0.5353065
quality_control_5,1.0,1.0
rail_lines,0.8461539,0.7221221
ratner_stock,0.384,0.4343739
robocalls,0.7692308,0.377219
run_log,0.4455959,0.3035168
scanline_126007,0.6444008,0.50272
scanline_42049,0.5914724,0.6119173
seatbelts,0.8382353,0.6406107
shanghai_license,0.4583333,0.4728084
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.4680851,0.4262648
us_population,0.04232804,0.03088236
usd_isk,0.5333333,0.6669785
well_log,0.6836488,0.725605
