dataset,f1,cover
apple,0.3140496,0.4220119
bank,1.0,1.0
bee_waggle_6,0.56,0.6434614
bitcoin,0.4509723,0.3533498
brent_spot,0.367713,0.3296091
businv,0.3125,0.4716365
centralia,0.9090909,0.7533333
children_per_woman,0.378353,0.1749723
co2_canada,0.7048261,0.5550042
construction,0.7142858,0.6708525
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.8888889,0.7030376
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.8082474,0.4883228
gdp_japan,0.8888889,0.8021403
global_co2,0.8571428,0.5547436
homeruns,0.7622951,0.5957378
iceland_tourism,0.9473684,0.9460216
jfk_passengers,0.6052632,0.7235313
lga_passengers,0.5905293,0.5078794
measles,0.9473684,0.9511853
nile,1.0,0.888
occupancy,0.3965041,0.3711386
ozone,0.53125,0.6823045
quality_control_1,0.6666667,0.5031081
quality_control_2,0.5454545,0.6318648
quality_control_3,0.2222222,0.5267877
quality_control_4,0.4383562,0.5489587
quality_control_5,0.5,0.52
rail_lines,0.9655172,0.784749
ratner_stock,0.6341463,0.767777
robocalls,0.7741936,0.702434
run_log,0.5587735,0.5748911
scanline_126007,0.7442377,0.5586827
scanline_42049,0.7994543,0.7863969
seatbelts,0.3214286,0.5522655
shanghai_license,0.7777778,0.8688104
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.7360913,0.4493005
us_population,0.2758621,0.2414216
usd_isk,0.8483685,0.8363743
well_log,0.397026,0.6364283
