dataset,f1,cover
apple,0.8041238,0.7831557
bank,0.125,0.09638554
bee_waggle_6,0.2795699,0.4670753
bitcoin,0.248731,0.1496251
brent_spot,0.5,0.3540127
businv,0.2956522,0.2894276
centralia,0.7628866,0.6746667
children_per_woman,0.3101712,0.2669299
co2_canada,0.265233,0.3083241
construction,0.3243243,0.2350589
debt_ireland,0.4693878,0.3206349
gdp_argentina,0.8888889,0.5919944
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.6956522,0.5418582
gdp_japan,1.0,0.7203065
global_co2,0.4583333,0.4807528
homeruns,0.6916168,0.4911634
iceland_tourism,0.28125,0.2160804
jfk_passengers,0.3510638,0.1623932
lga_passengers,0.4702682,0.3461419
measles,0.07114625,0.05650858
nile,1.0,0.86472
occupancy,0.2921995,0.3703765
ozone,0.7234043,0.5736626
quality_control_1,0.2,0.3258497
quality_control_2,0.4285714,0.822798
quality_control_3,0.1666667,0.2732241
quality_control_4,0.2619048,0.2461437
quality_control_5,0.25,0.3384615
rail_lines,0.423077,0.4778051
ratner_stock,0.3111111,0.315
robocalls,0.8,0.6657396
run_log,0.2289008,0.4236201
scanline_126007,0.7332854,0.2125309
scanline_42049,0.4534743,0.6293096
seatbelts,0.8235294,0.6248321
shanghai_license,0.75,0.5079426
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.6818182,0.4072129
us_population,0.08247423,0.06176471
usd_isk,0.565097,0.6451814
well_log,0.4251593,0.6440564
