dataset,f1,cover
apple,0.6153847,0.4244848
bank,0.6666667,0.8141136
bee_waggle_6,0.2204724,0.161855
bitcoin,0.4850746,0.3882617
brent_spot,0.5038403,0.3386805
businv,0.2702703,0.4721594
centralia,0.9090909,0.7533333
children_per_woman,0.4577284,0.5042296
co2_canada,0.7048261,0.5503597
construction,0.5882353,0.5065831
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.8888889,0.7202763
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.6052632,0.5518787
gdp_japan,1.0,0.7310345
global_co2,1.0,0.6450769
homeruns,0.7659575,0.6217278
iceland_tourism,0.6428571,0.7103385
jfk_passengers,0.5588235,0.535039
lga_passengers,0.7866948,0.5658965
measles,0.4864865,0.7497477
nile,1.0,0.888
occupancy,0.7399035,0.6302288
ozone,0.53125,0.6096297
quality_control_1,0.4,0.7124506
quality_control_2,0.5454545,0.6052375
quality_control_3,0.8,0.8841833
quality_control_4,0.7263159,0.5400706
quality_control_5,1.0,1.0
rail_lines,0.8461539,0.7450728
ratner_stock,0.66,0.8600142
robocalls,0.8615385,0.5576923
run_log,0.522293,0.5530515
scanline_126007,0.8028738,0.3960568
scanline_42049,0.5810952,0.5989075
seatbelts,0.8571429,0.7478456
shanghai_license,0.7131783,0.6675697
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5969973,0.3589908
us_population,0.2758621,0.2463235
usd_isk,0.6141732,0.6908078
well_log,0.5448666,0.6465967
