dataset,f1,cover
apple,0.7090909,0.5899992
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.6000001,0.7354192
brent_spot,0.2393162,0.448683
businv,0.3703704,0.5070701
centralia,0.7628866,0.6746667
children_per_woman,0.5074627,0.4291056
co2_canada,0.597009,0.5952139
construction,0.631579,0.670229
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.8235293,0.7370871
gdp_croatia,1.0,0.8016666
gdp_iran,0.6516854,0.5826397
gdp_japan,1.0,0.6588506
global_co2,0.8461538,0.758321
homeruns,0.6041379,0.4576824
iceland_tourism,0.4864865,0.6541688
jfk_passengers,0.53125,0.761988
lga_passengers,0.5343349,0.4451321
measles,0.6428571,0.6530015
nile,0.8235293,0.7580801
occupancy,0.3407786,0.2356213
ozone,0.9655172,0.8518518
quality_control_1,0.3333333,0.5527157
quality_control_2,0.5454545,0.6052375
quality_control_3,0.6666667,0.5002717
quality_control_4,0.5614035,0.5610048
quality_control_5,0.1333333,0.3076923
rail_lines,0.6984127,0.6487919
ratner_stock,0.5714286,0.4503256
robocalls,0.7777778,0.5029914
run_log,0.4455959,0.3035168
scanline_126007,0.6523438,0.5007529
scanline_42049,0.6096257,0.5934781
seatbelts,0.4736842,0.7159948
shanghai_license,0.6984127,0.6824775
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.6577181,0.5428301
us_population,0.3809524,0.4683823
usd_isk,0.3927126,0.5924225
well_log,0.6028369,0.6801623
