dataset,f1,cover
apple,0.4158416,0.4965359
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.56639,0.7769098
brent_spot,0.3425414,0.5319677
businv,0.5882353,0.4609477
centralia,0.7628866,0.6746667
children_per_woman,0.4047619,0.691769
co2_canada,0.530466,0.4473513
construction,0.6956522,0.5746032
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8235293,0.7370871
gdp_croatia,1.0,0.8016666
gdp_iran,0.6516854,0.5826397
gdp_japan,0.8888889,0.8021403
global_co2,0.8461538,0.758321
homeruns,0.6592179,0.5107153
iceland_tourism,0.9473684,0.9460216
jfk_passengers,0.7234043,0.6298433
lga_passengers,0.5347986,0.3830284
measles,0.6428571,0.8543571
nile,0.8235293,0.7580801
occupancy,0.4083451,0.3939547
ozone,0.9655172,0.8518518
quality_control_1,0.6666667,0.5031081
quality_control_2,0.75,0.6382524
quality_control_3,0.6666667,0.5002717
quality_control_4,0.7804878,0.6727408
quality_control_5,0.2,0.1230769
rail_lines,0.9655172,0.8018895
ratner_stock,0.5714286,0.4503256
robocalls,0.6363636,0.6005917
run_log,0.2356165,0.4217334
scanline_126007,0.6523438,0.6798554
scanline_42049,0.6548094,0.7375162
seatbelts,0.4736842,0.5693963
shanghai_license,0.6511628,0.7025251
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.4791667,0.4150505
us_population,0.8888889,0.8033761
usd_isk,0.488665,0.436293
well_log,0.2370225,0.2245755
