dataset,f1,cover
apple,0.9285714,0.794818
bank,0.09090909,0.06884682
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.3606557,0.1100538
brent_spot,0.4974619,0.1208027
businv,0.4045911,0.2406189
centralia,0.9090909,0.7533333
children_per_woman,0.4754761,0.2440552
co2_canada,0.394517,0.4756631
construction,0.3571429,0.1497398
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.5833333,0.5963459
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.8888889,0.4126437
gdp_japan,0.8888889,0.8021403
global_co2,1.0,0.6446617
homeruns,0.6412968,0.3763348
iceland_tourism,0.5714286,0.2422111
jfk_passengers,0.2439025,0.1094017
lga_passengers,0.4948453,0.2018162
measles,0.9473684,0.9511853
nile,1.0,0.888
occupancy,0.7886318,0.5653745
ozone,0.7234043,0.5736626
quality_control_1,0.8,0.7753731
quality_control_2,1.0,0.9174385
quality_control_3,0.1538461,0.2459016
quality_control_4,0.2361111,0.178
quality_control_5,1.0,1.0
rail_lines,0.9655172,0.7841805
ratner_stock,0.1947149,0.088
robocalls,0.7088609,0.3576923
run_log,0.2289008,0.4236201
scanline_126007,0.595217,0.1261093
scanline_42049,0.6860928,0.6749198
seatbelts,0.6829268,0.7909486
shanghai_license,0.3445693,0.2571707
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5073171,0.1487287
us_population,0.09876544,0.0754902
usd_isk,0.6141732,0.697628
well_log,0.5448666,0.6465967
