dataset,f1,cover
apple,0.9285714,0.8007298
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.8012475,0.7594839
brent_spot,0.7175399,0.672608
businv,0.7755102,0.6442095
centralia,0.9090909,0.7533333
children_per_woman,0.6541353,0.7885332
co2_canada,0.7992564,0.6446448
construction,0.9655172,0.7329714
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8888889,0.7202763
gdp_croatia,1.0,0.8016666
gdp_iran,0.7368422,0.6920977
gdp_japan,1.0,0.7310345
global_co2,0.9285715,0.7486236
homeruns,0.9473684,0.6921556
iceland_tourism,1.0,0.8815531
jfk_passengers,0.7755102,0.7386896
lga_passengers,0.8372092,0.6174475
measles,0.9473684,0.9511853
nile,1.0,0.888
occupancy,0.9037245,0.6622179
ozone,0.9655172,0.8518518
quality_control_1,1.0,0.9961857
quality_control_2,1.0,0.9230325
quality_control_3,0.5,0.8708079
quality_control_4,0.7804878,0.6727408
quality_control_5,1.0,1.0
rail_lines,0.9655172,0.784749
ratner_stock,0.8888889,0.9081535
robocalls,0.9655172,0.8076923
run_log,0.6713782,0.5930936
scanline_126007,0.869871,0.4435236
scanline_42049,0.8344372,0.7997555
seatbelts,0.8382353,0.6406107
shanghai_license,0.7777778,0.7267528
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.7381703,0.5714749
us_population,0.6666667,0.4203432
usd_isk,0.8483685,0.8363743
well_log,0.714528,0.7326803
