dataset,f1,cover
apple,0.9285714,0.794818
bank,0.03389831,0.05507745
bee_waggle_6,0.245283,0.4419287
bitcoin,0.4623656,0.4259084
brent_spot,0.4773519,0.545627
businv,0.212766,0.4106936
centralia,0.9090909,0.7533333
children_per_woman,0.229249,0.4002715
co2_canada,0.6192917,0.613791
construction,0.2941176,0.1178683
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.8235293,0.7370871
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.6516854,0.5826397
gdp_japan,0.8888889,0.8021403
global_co2,1.0,0.6446617
homeruns,0.8291457,0.4836241
iceland_tourism,0.2222222,0.1035176
jfk_passengers,0.4411765,0.3093447
lga_passengers,0.5766234,0.4991627
measles,0.1818182,0.09578065
nile,1.0,0.888
occupancy,0.485323,0.4595097
ozone,0.7234043,0.5736626
quality_control_1,0.4,0.7300249
quality_control_2,0.75,0.6382524
quality_control_3,0.3333333,0.5922244
quality_control_4,0.1818182,0.044
quality_control_5,0.2857143,0.4307693
rail_lines,0.8461539,0.7450728
ratner_stock,0.2477876,0.2314657
robocalls,0.6363636,0.6005917
run_log,0.35847,0.4140837
scanline_126007,0.7268106,0.3536843
scanline_42049,0.4038694,0.3006257
seatbelts,0.6829268,0.7666228
shanghai_license,0.7777778,0.6970538
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5702479,0.4112285
us_population,0.109589,0.08578431
usd_isk,0.6141732,0.7182192
well_log,0.5448666,0.6465967
