dataset,f1,cover
apple,0.6341463,0.5795817
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.5499352,0.7345982
brent_spot,0.2393162,0.4529871
businv,0.3703704,0.5328222
centralia,0.7628866,0.6746667
children_per_woman,0.4047619,0.7531011
co2_canada,0.6629761,0.5566429
construction,0.5161291,0.6860771
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8888889,0.7202763
gdp_croatia,1.0,0.8016666
gdp_iran,0.6516854,0.5826397
gdp_japan,1.0,0.7310345
global_co2,0.5945946,0.7499423
homeruns,0.7368422,0.5318127
iceland_tourism,0.6428571,0.7747718
jfk_passengers,0.53125,0.6292247
lga_passengers,0.4219653,0.3897522
measles,0.9473684,0.9511853
nile,0.8235293,0.7580801
occupancy,0.3816977,0.3590843
ozone,0.9655172,0.8518518
quality_control_1,0.6666667,0.5031081
quality_control_2,1.0,0.9230325
quality_control_3,0.6666667,0.5002717
quality_control_4,0.4383562,0.5402735
quality_control_5,1.0,1.0
rail_lines,0.9655172,0.784749
ratner_stock,0.7755102,0.8711264
robocalls,0.8615385,0.682829
run_log,0.2289008,0.4236201
scanline_126007,0.6523438,0.5007529
scanline_42049,0.7811635,0.7315395
seatbelts,0.6206896,0.5283637
shanghai_license,0.6511628,0.6519101
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5648415,0.4780354
us_population,0.3809524,0.4897059
usd_isk,0.5420376,0.7480584
well_log,0.4910249,0.4815989
