dataset,f1,cover
apple,0.9285714,0.794818
bank,1.0,1.0
bee_waggle_6,0.9655172,0.6383842
bitcoin,0.7146172,0.715204
brent_spot,0.4427187,0.279213
businv,0.2702703,0.516981
centralia,0.9090909,0.7533333
children_per_woman,0.3653705,0.376956
co2_canada,0.704035,0.464543
construction,0.5882353,0.3770978
debt_ireland,0.7603306,0.6346154
gdp_argentina,0.8888889,0.7202763
gdp_croatia,0.8235293,0.7083333
gdp_iran,0.6052632,0.5518787
gdp_japan,1.0,0.7310345
global_co2,0.7536232,0.5983275
homeruns,0.7272727,0.5221517
iceland_tourism,0.6428571,0.6472637
jfk_passengers,0.3913043,0.2666667
lga_passengers,0.5646078,0.469412
measles,0.6428571,0.7488006
nile,1.0,0.888
occupancy,0.3407786,0.2356213
ozone,0.53125,0.6096297
quality_control_1,0.6666667,0.5031081
quality_control_2,0.75,0.6382524
quality_control_3,0.6666667,0.5002717
quality_control_4,0.4207317,0.2610595
quality_control_5,0.6666667,0.8
rail_lines,0.9655172,0.784749
ratner_stock,0.2910603,0.3014657
robocalls,0.8461539,0.6618589
run_log,0.4455959,0.3035168
scanline_126007,0.6756238,0.4911444
scanline_42049,0.4904214,0.6458088
seatbelts,0.6829268,0.6930004
shanghai_license,0.7131783,0.6793692
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5742574,0.3952597
us_population,0.2666667,0.1235294
usd_isk,0.6495049,0.669349
well_log,0.5448666,0.6465967
