dataset,f1,cover
apple,0.59375,0.4246265
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.453886,0.7187362
brent_spot,0.2393162,0.4664102
businv,0.4545455,0.5544505
centralia,0.9090909,0.7533333
children_per_woman,0.506579,0.7581051
co2_canada,0.7048261,0.5503597
construction,0.9655172,0.7323447
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8235293,0.7370871
gdp_croatia,1.0,0.8016666
gdp_iran,0.8679246,0.7296852
gdp_japan,1.0,0.7310345
global_co2,0.9285715,0.7486236
homeruns,0.6222223,0.5988601
iceland_tourism,0.6428571,0.8857101
jfk_passengers,0.53125,0.8118831
lga_passengers,0.5145631,0.5264492
measles,0.9473684,0.9511853
nile,0.8235293,0.7580801
occupancy,0.818988,0.5470062
ozone,0.9655172,0.8518518
quality_control_1,0.6666667,0.5031081
quality_control_2,0.75,0.6382524
quality_control_3,0.6666667,0.5002717
quality_control_4,0.7804878,0.6727408
quality_control_5,1.0,1.0
rail_lines,0.9655172,0.784749
ratner_stock,0.5833333,0.6191429
robocalls,0.9655172,0.8076923
run_log,0.4791667,0.5108351
scanline_126007,0.6444008,0.50272
scanline_42049,0.4038694,0.3040183
seatbelts,0.8382353,0.8093466
shanghai_license,0.4827586,0.7376597
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.7381703,0.5714749
us_population,0.3809524,0.4436275
usd_isk,0.8483685,0.8363743
well_log,0.4575836,0.4743195
