dataset, f1, cover
centralia, 0.7628866, 0.6746667
debt_ireland, 0.880597, 0.5141969
gdp_argentina, 0.8235293, 0.7370871
gdp_croatia, 0.8235293, 0.7083333
gdp_iran, 0.6516854, 0.5826397
gdp_japan, 0.8888889, 0.8021403
global_co2, 0.8461538, 0.758321
homeruns, 0.7622951, 0.6502604
nile, 0.8235293, 0.7580801
ozone, 0.9655172, 0.8282248
rail_lines, 0.5365854, 0.4281958
robocalls, 0.6363636, 0.6005917
uk_coal_employ, 0.5132744, 0.3564807
