file, twarmup, plimit, f1, cover
bank, bank, 299.14594531753573, 0.11209305207987146, 0.6666666666666666
bitcoin, bitcoin, 291.83431160614396, 0.4989584963540347, 0.5408618127786033
brent_spot, brent_spot, 222.13316008451008, 0.2758919692606993, 0.5611510791366906
businv, businv, 208.083309267833, 0.17709135145136568, 0.7755102040816326
centralia, centralia, 12.919322110648542, 0.4692388613377909, 0.9090909090909091
children_per_woman, children_per_woman, 150.45538705858058, 0.22280488938145004, 0.8095238095238095
co2_canada, co2_canada, 80.16255662537849, 0.4270074274327387, 0.7453323375653472
construction, construction, 193.18666535954355, 0.9233456163895348, 0.888888888888889
debt_ireland, debt_ireland, 15.58733498787805, 0.24810959380173075, 0.7603305785123966
gdp_argentina, gdp_argentina, 54.63734158671267, 0.6545529126307311, 0.888888888888889
gdp_croatia, gdp_croatia, 14.187827699968938, 0.7087887410932731, 1.0
gdp_iran, gdp_iran, 28.539031960340356, 0.19882844797531585, 0.6956521739130436
gdp_japan, gdp_japan, 32.0752892197456, 0.6487004579371431, 1.0
global_co2, global_co2, 95.43563982991982, 0.6223902453325582, 0.9285714285714286
homeruns, homeruns, 63.991698281761856, 0.6657376886448926, 0.8785046728971964
iceland_tourism, iceland_tourism, 248.8936651217869, 0.08854816034533061, 0.9473684210526316
jfk_passengers, jfk_passengers, 299.4148076355658, 0.8324082888661374, 0.9285714285714287
lga_passengers, lga_passengers, 127.37197654882671, 0.22985304173659576, 0.6635687732342007
measles, measles, 299.0900437341886, 0.7506543847291443, 0.391304347826087
nile, nile, 164.85802352844001, 0.43315594545617514, 0.8235294117647058
ozone, ozone, 28.897511916372324, 0.45206376143175575, 1.0
quality_control_1, quality_control_1, 169.52045462218953, 0.13373315928048057, 0.6928104575163399
quality_control_2, quality_control_2, 284.1585479043116, 0.2002898456310469, 0.659217877094972
quality_control_3, quality_control_3, 208.25013409174116, 0.2882014076762824, 0.7755102040816326
quality_control_4, quality_control_4, 299.95427404875, 0.2939108923174699, 0.3801652892561983
quality_control_5, quality_control_5, 299.2177306184182, 0.5884374393855828, 0.6666666666666666
rail_lines, rail_lines, 91.95940992392886, 0.5309925531891528, 0.7628865979381444
ratner_stock, ratner_stock, 299.7860456656643, 0.9975788905864218, 0.5945945945945946
robocalls, robocalls, 136.2616050632813, 0.1549987158519595, 0.6956521739130436
scanline_126007, scanline_126007, 80.59293436821952, 0.8517911693026392, 0.5429815016322088
scanline_42049, scanline_42049, 173.65728133649347, 0.7559879901626324, 0.6203208556149732
seatbelts, seatbelts, 271.02468019509445, 0.9790868075610526, 0.8235294117647058
shanghai_license, shanghai_license, 230.90610726076747, 0.9119158467627649, 0.8235294117647058
uk_coal_employ, uk_coal_employ, 240.3015464196232, 0.9619986406780736, 0.9473684210526316
unemployment_nl, unemployment_nl, 218.14754015477772, 0.7356996665915304, 0.651685393258427
us_population, us_population, 299.7784838090175, 0.6582418190464986, 0.47058823529411764
usd_isk, usd_isk, 292.76592081758054, 0.41716546786576475, 0.8235294117647058
well_log, well_log, 172.08641532885989, 0.3098002987440245, 0.6666666666666666
