file, twarmup, plimit, f1, cover
bank, bank, 298.83212949990354, 0.05299083062286661, 0.6666666666666666
bitcoin, bitcoin, 290.3387216252928, 0.6657471216052517, 0.5408618127786033
brent_spot, brent_spot, 45.921380901673736, 0.5286127329037958, 0.578332034294622
businv, businv, 208.51173414925648, 0.7374587220159847, 0.7755102040816326
centralia, centralia, 11.74886043866475, 0.5221963846740868, 0.9090909090909091
children_per_woman, children_per_woman, 150.33021755063467, 0.2550581439882834, 0.8095238095238095
co2_canada, co2_canada, 11.284132690453529, 0.4156816681234061, 0.782608695652174
construction, construction, 192.12461505078087, 0.11300151685656862, 0.888888888888889
debt_ireland, debt_ireland, 10.187668903947667, 0.09163313697045995, 0.7603305785123966
gdp_argentina, gdp_argentina, 26.74366585999491, 0.42256978071605383, 0.9473684210526316
gdp_croatia, gdp_croatia, 12.329609638854592, 0.7806290248284016, 1.0
gdp_iran, gdp_iran, 11.817576244267691, 0.5941666227501861, 0.8615384615384615
gdp_japan, gdp_japan, 31.30038892973858, 0.3619946239177961, 1.0
global_co2, global_co2, 47.25124633684803, 0.09000398187665967, 1.0
homeruns, homeruns, 65.33382471951099, 0.7397611932092609, 0.8785046728971964
iceland_tourism, iceland_tourism, 170.31659465477125, 0.0014262970885022819, 1.0
jfk_passengers, jfk_passengers, 297.9975409416487, 0.7280877609132768, 0.9285714285714287
lga_passengers, lga_passengers, 294.13003408796624, 0.571143058904489, 0.6928104575163399
measles, measles, 143.62728605503722, 0.05171962787404024, 0.4444444444444445
nile, nile, 121.54447303149624, 0.1323502965647935, 0.8235294117647058
ozone, ozone, 219.73413702408828, 0.6980735635352994, 0.8235294117647058
quality_control_1, quality_control_1, 92.77550458969603, 0.14519033392336333, 0.6341463414634146
quality_control_2, quality_control_2, 168.1518262398839, 0.8449208818280003, 1.0
quality_control_3, quality_control_3, 163.21822717750803, 0.23880586663413858, 0.8
quality_control_4, quality_control_4, 298.6728890364255, 0.5958088530403688, 0.6153846153846154
quality_control_5, quality_control_5, 64.95154257666984, 0.4315550779804488, 0.5295774647887325
rail_lines, rail_lines, 278.9813708992483, 0.6070900742029276, 0.6956521739130436
ratner_stock, ratner_stock, 299.077771114365, 0.876822018756594, 0.9285714285714287
robocalls, robocalls, 238.72520111847965, 0.34212335905445085, 0.44961240310077516
scanline_126007, scanline_126007, 279.20332685387115, 0.8565453717188082, 0.5522388059701493
scanline_42049, scanline_42049, 288.7635100128753, 0.15471524599019587, 0.5833333333333333
seatbelts, seatbelts, 196.04949344917858, 0.5051431329426558, 0.651685393258427
shanghai_license, shanghai_license, 200.68276497855686, 0.28998842262540725, 0.7755102040816326
uk_coal_employ, uk_coal_employ, 66.07556100445632, 0.3557651427886687, 0.8461538461538461
unemployment_nl, unemployment_nl, 165.68941656832163, 0.5989745179462147, 1.0
us_population, us_population, 81.83741031217622, 0.7525625716673816, 0.3986684420772304
usd_isk, usd_isk, 167.9455802877648, 0.13099419591541206, 1.0
well_log, well_log, 172.75815801526048, 0.7543420749297682, 0.6666666666666666
