file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
quality_control_1,0,5,2.178278601863772,14,15,1.0,0.9923669190051255
quality_control_1,1,5,3.0430025002045604,77,30,1.0,0.9923669190051255
quality_control_1,2,6,0.9550025149196539,10,33,0.6666666666666666,0.5031081260398699
quality_control_1,3,3,0.3078359275854402,64,41,0.6666666666666666,0.7018054833197117
quality_control_1,4,6,0.9451446489419454,78,48,0.8,0.845371849485268
quality_control_1,5,6,1.5200160232340316,81,44,1.0,0.9961856952610209
quality_control_1,6,6,3.4974631479776743,62,43,1.0,0.9961856952610209
quality_control_1,7,3,0.4552489770406721,82,30,0.8,0.8839141095177947
quality_control_1,9,3,0.36951426410095106,58,37,0.8,0.8168214577606061
quality_control_1,10,3,0.1650617717810488,89,26,0.8,0.8839141095177947
quality_control_1,11,4,1.6993926291436274,76,35,1.0,0.9961856952610209
quality_control_1,12,5,1.4185607875539172,39,43,0.6666666666666666,0.5031081260398699
quality_control_1,13,6,1.7687672171248632,49,39,1.0,0.9961856952610209
quality_control_1,14,4,0.44998800964843044,50,19,0.6666666666666666,0.5031081260398699
quality_control_1,15,4,3.6457773206885804,35,14,0.6666666666666666,0.5031081260398699
quality_control_1,16,5,2.082744892629447,94,20,0.6666666666666666,0.5031081260398699
quality_control_1,17,4,1.361892802506799,34,49,0.6666666666666666,0.5031081260398699
quality_control_1,18,3,3.8221438255589355,15,25,1.0,0.9961856952610209
quality_control_1,19,4,0.46601154398130296,49,6,0.6666666666666666,0.5031081260398699
quality_control_1,20,4,0.5265426471719128,70,40,0.9473684210526316,0.9735064359452622
quality_control_1,21,6,1.2949811957862303,22,50,1.0,0.9961856952610209
quality_control_1,22,5,2.208976737488708,15,7,1.0,0.9923669190051255
quality_control_1,23,6,1.245582664938738,23,15,0.6666666666666666,0.5031081260398699
quality_control_1,24,6,2.902129264421475,20,43,1.0,0.9961856952610209
quality_control_1,25,6,1.5644783436909933,86,31,1.0,0.9961856952610209
quality_control_1,26,3,0.7511871989649322,60,17,0.5714285714285715,0.7209748123931942
quality_control_1,27,4,2.3051000791283762,29,25,1.0,0.9961856952610209
quality_control_1,28,5,3.976857763532025,35,16,0.6666666666666666,0.5031081260398699
quality_control_1,29,5,3.514865658785349,38,44,1.0,0.9923669190051255
quality_control_1,30,3,3.6323883872568508,13,30,0.6666666666666666,0.5031081260398699
quality_control_1,31,4,0.4637327428473042,81,17,0.6428571428571429,0.769033592494783
quality_control_1,32,3,3.447614200603252,56,18,1.0,0.9961856952610209
quality_control_1,33,3,1.995905821703292,26,9,0.6666666666666666,0.5031081260398699
quality_control_1,34,5,1.2676185292710818,19,41,0.6666666666666666,0.5031081260398699
quality_control_1,35,4,1.3252145467808507,75,6,0.8,0.869663686031344
quality_control_1,36,5,1.1979879313718513,41,50,0.6666666666666666,0.5031081260398699
quality_control_1,37,4,3.3273197751780472,12,20,0.5,0.7891280292994624
quality_control_1,38,3,1.391818030853262,52,37,1.0,0.9961856952610209
quality_control_1,39,4,3.0047041791997082,15,13,0.6666666666666666,0.5031081260398699
