distance_index,f1,cover
17,89.83396904290615,2693
1,91.71339564003632,2612
34,88.67291612342783,2551
36,88.56179647926535,2526
15,84.10874318484734,2520
16,83.49960146720889,2506
37,93.5899585258058,2472
14,81.31577412072059,2484
9,77.90947137717555,2484
24,92.56430381800119,2443
22,92.27676990242922,2428
10,85.70699812873656,2417
32,92.03915447710399,2407
20,83.70317181501218,2415
35,61.59602705104285,2410
19,84.18235293431293,2364
5,76.27707001726924,2369
6,108.00086161018507,2335
12,48.98188298001044,2385
38,85.76700638275514,2348
11,79.30631509325025,2338
23,80.35035788742599,2334
0,85.51680268377838,2328
39,82.35125351082873,2331
29,99.08624028610504,2301
27,93.37610116900683,2288
33,83.85268349947475,2297
31,80.16525529720244,2297
18,81.38905170315138,2295
13,98.76884852275025,2275
2,57.82215081900148,2304
4,80.28135504329802,2248
7,76.11881344705316,2244
3,79.40317213581578,2185
28,67.02911912336279,2177
30,62.89846702432805,2150
25,80.74898342198547,2111
26,57.89237027692837,2080
21,58.888223993464266,2022
8,2.783227423802752,293
