file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
iceland_tourism, 0, 6, 3.91576074180262, 91, 31, 1.0, 0.8418851011815836
iceland_tourism, 1, 3, 3.2754733508229483, 100, 3, 0.6666666666666666, 0.7665082167594729
iceland_tourism, 2, 6, 0.7686280175862762, 32, 49, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 3, 6, 3.477065976074072, 40, 35, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 4, 4, 3.4866716703021554, 79, 18, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 5, 3, 3.5905060239160296, 82, 11, 0.6428571428571429, 0.8857101599953794
iceland_tourism, 6, 5, 3.7904355732427275, 69, 49, 0.6428571428571429, 0.8304084525190053
iceland_tourism, 7, 5, 3.0582498735647046, 12, 35, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 9, 3, 2.792779370747795, 75, 11, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 10, 3, 3.7295709725562936, 80, 21, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 11, 3, 3.9411859145484036, 91, 18, 1.0, 0.8418851011815836
iceland_tourism, 12, 6, 0.10371973802752255, 65, 8, 1.0, 0.8418851011815836
iceland_tourism, 13, 3, 3.826951326103322, 100, 6, 0.48648648648648646, 0.8558019984982383
iceland_tourism, 14, 3, 3.72592260726883, 99, 49, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 15, 6, 3.8521830766235188, 83, 19, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 16, 3, 3.997722998439333, 75, 23, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 17, 3, 3.9916962668789537, 99, 32, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 18, 3, 3.8304800857088876, 96, 13, 1.0, 0.8418851011815836
iceland_tourism, 19, 3, 3.8193608528842398, 100, 3, 0.8, 0.8268097242971615
iceland_tourism, 20, 5, 3.7559953449503864, 97, 36, 0.6428571428571429, 0.9092978405541221
iceland_tourism, 21, 5, 1.5421845845990785, 23, 18, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 22, 3, 3.7046166670474356, 63, 23, 1.0, 0.8418851011815836
iceland_tourism, 23, 3, 3.9752561165709523, 98, 44, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 24, 3, 3.993268167706992, 100, 3, 0.48648648648648646, 0.7596964413906265
iceland_tourism, 25, 6, 3.9768350384192357, 69, 43, 1.0, 0.8418851011815836
iceland_tourism, 26, 4, 2.9993501949032035, 58, 37, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 27, 5, 3.717315306464695, 97, 4, 0.48648648648648646, 0.884661143555616
iceland_tourism, 28, 5, 1.0347043699676093, 46, 43, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 29, 6, 3.6357415140121776, 99, 5, 0.48648648648648646, 0.7446210645062046
iceland_tourism, 30, 6, 3.2155981709974877, 86, 5, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 31, 3, 3.5217838377208257, 35, 15, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 32, 5, 3.964354628106425, 77, 6, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 33, 3, 3.8668751364044462, 91, 11, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 34, 3, 3.991774141842812, 79, 30, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 35, 3, 2.5174209814328794, 69, 32, 0.9473684210526316, 0.9460215651119921
iceland_tourism, 36, 3, 3.700881721338437, 83, 10, 0.6428571428571429, 0.7747718182750487
iceland_tourism, 37, 5, 3.1452272517850286, 78, 8, 0.48648648648648646, 0.7801571962375983
iceland_tourism, 38, 5, 3.705865560163807, 100, 14, 0.6428571428571429, 0.9092978405541221
iceland_tourism, 39, 6, 3.048927398532742, 75, 8, 0.9473684210526316, 0.9460215651119921
