dataset, time(ms), energy(J)
apple, 528.9473684210526, 0.1332794271957187
bank, 422.4166666666667, 0.10804873643329908
bee_waggle_6, 445.47058823529414, 0.11146994580747774
bitcoin, 244.9918699186992, 0.06249854223612298
brent_spot, 191.47770700636943, 0.04880430026541886
businv, 1403.5454545454545, 0.35980318786410365
centralia, 23.321678321678323, 0.005972152317530671
children_per_woman, 313.6458333333333, 0.08002297617899028
co2_canada, 102.34353741496598, 0.026084295204244122
construction, 502.25, 0.12860520671370068
debt_ireland, 24.935215946843854, 0.00638398245044442
gdp_argentina, 25.822719449225474, 0.006598133934318918
gdp_croatia, 10.792446043165468, 0.0027597286633065142
gdp_iran, 68.38952164009112, 0.01742969429945049
gdp_japan, 28.756704980842912, 0.007353017481076593
global_co2, 193.96774193548387, 0.04950648059203823
homeruns, 153.52551020408163, 0.039329446458279974
iceland_tourism, 632.2291666666666, 0.1618664646874398
jfk_passengers, 174.242774566474, 0.04457573750034835
lga_passengers, 191.21019108280254, 0.0488600378688264
measles, 800.7368421052631, 0.20433638053050104
nile, 65.1409978308026, 0.016661991648690748
occupancy, 990.3225806451613, 0.24917005861020552
ozone, 27.405479452054795, 0.006999580450522623
quality_control_1, 162.66486486486485, 0.0416340837242289
quality_control_2, 128.9785407725322, 0.0330839307105931
quality_control_3, 113.67045454545455, 0.029109694136719332
quality_control_4, 530.561403508772, 0.1358245991304852
quality_control_5, 138.34101382488478, 0.0354283630442531
rail_lines, 42.63494318181818, 0.010898076746161419
ratner_stock, 981.3548387096774, 0.2514042281444187
robocalls, 105.91549295774648, 0.02712410695230766
run_log, 752.625, 0.1914706167471195
scanline_126007, 651.8723404255319, 0.16660212120327644
scanline_42049, 773.025641025641, 0.19758573961161557
seatbelts, 81.8283378746594, 0.020905963125965706
shanghai_license, 404.3066666666667, 0.10310084167382835
uk_coal_employ, 54.02158273381295, 0.013803285178805087
unemployment_nl, 106.5, 0.027128910120560984
us_population, 1088.392857142857, 0.27783922979252956
usd_isk, 332.7692307692308, 0.08516547611784367
well_log, 330.7802197802198, 0.08462485519501589
