dataset, time(ms), energy(J)
apple, 390.2597402597403, 0.09957779579337228
bank, 218.7391304347826, 0.05587950108275581
bee_waggle_6, 217.32374100719426, 0.05467890983751243
bitcoin, 249.78512396694214, 0.06395043056544043
brent_spot, 720.952380952381, 0.18465606732713372
businv, 417.3888888888889, 0.10677419020195582
centralia, 15.09456740442656, 0.0038683788933689487
children_per_woman, 389.8961038961039, 0.09944174625291323
co2_canada, 172.79885057471265, 0.04411436563611784
construction, 645.7234042553191, 0.16565621199914218
debt_ireland, 16.845030881527233, 0.004320771619698583
gdp_argentina, 15.136730575176589, 0.0038574938652750465
gdp_croatia, 12.241534067727459, 0.003137568913386951
gdp_iran, 228.61363636363637, 0.05856615325201071
gdp_japan, 77.79792746113989, 0.019906672058917708
global_co2, 150.21, 0.038357331487695774
homeruns, 259.62931034482756, 0.06657540422191169
iceland_tourism, 136.9181818181818, 0.03491571359098254
jfk_passengers, 197.6315789473684, 0.05059407587324179
lga_passengers, 423.14084507042253, 0.10828520875239378
measles, 301.37, 0.07714157251195503
nile, 352.5232558139535, 0.09021598252609185
occupancy, 544.9642857142857, 0.13772279450323108
ozone, 16.418490153172865, 0.004197975357847119
quality_control_1, 78.21875, 0.020001752227097807
quality_control_2, 112.29477611940298, 0.028798049727152938
quality_control_3, 77.16452442159382, 0.019705641814737232
quality_control_4, 193.0448717948718, 0.049463311249686136
quality_control_5, 129.72413793103448, 0.03317141445076043
rail_lines, 45.57663125948407, 0.011675342764890111
ratner_stock, 179.44642857142858, 0.04598173328702701
robocalls, 79.15526315789474, 0.020298854666419317
run_log, 583.1730769230769, 0.14865625652751427
scanline_126007, 690.3181818181819, 0.17721477887620163
scanline_42049, 1066.5172413793102, 0.2729444590228201
seatbelts, 46.9234375, 0.011973309809854981
shanghai_license, 64.01492537313433, 0.01634193598861658
uk_coal_employ, 34.02267573696145, 0.008703393384364688
unemployment_nl, 101.77966101694915, 0.026082165195913474
us_population, 270.56756756756755, 0.06908782980715367
usd_isk, 438.4347826086956, 0.1123802475772011
well_log, 255.64406779661016, 0.0653536852544876
