dataset, time(ms), energy(J)
apple, 144.40384615384616, 0.036919144730868186
bank, 81.95367847411444, 0.02095412823507156
bee_waggle_6, 179.25, 0.044927705412249
bitcoin, 170.6818181818182, 0.04364710050928848
brent_spot, 142.66824644549763, 0.03659474736662805
businv, 303.4949494949495, 0.0777344273170787
centralia, 6.276987447698745, 0.00161001845500241
children_per_woman, 190.45569620253164, 0.04865817508047707
co2_canada, 75.27067669172932, 0.019311844813772835
construction, 352.8139534883721, 0.09045838242360163
debt_ireland, 10.167400881057269, 0.002609066882283386
gdp_argentina, 11.577546296296296, 0.0029590345547712772
gdp_croatia, 6.859167809785093, 0.001757550841985497
gdp_iran, 25.89818809318378, 0.0066531274430689695
gdp_japan, 16.35258855585831, 0.004185977788158039
global_co2, 78.78477690288715, 0.020155716480746863
homeruns, 34.67898383371824, 0.008877800159079212
iceland_tourism, 114.7557251908397, 0.029380536981461633
jfk_passengers, 80.4745308310992, 0.020598414072526734
lga_passengers, 186.7391304347826, 0.04788458182295002
measles, 420.2361111111111, 0.10776415270387613
nile, 88.20527859237536, 0.022618158274198538
occupancy, 268.26785714285717, 0.06796572537054349
ozone, 15.610822060353797, 0.003996818689005083
quality_control_1, 111.45555555555555, 0.028549190457218813
quality_control_2, 72.84708737864078, 0.018630058560970126
quality_control_3, 267.1592920353982, 0.06855636710893485
quality_control_4, 104.42013888888889, 0.026769120045134147
quality_control_5, 138.08256880733944, 0.03533836934656009
rail_lines, 20.486689419795223, 0.005251311966983371
ratner_stock, 157.65968586387436, 0.040303733039770896
robocalls, 24.87323943661972, 0.006372393105476238
run_log, 146.02912621359224, 0.037265869120490396
scanline_126007, 80.30213903743315, 0.02050390555759902
scanline_42049, 211.64084507042253, 0.05410354196980644
seatbelts, 97.83387622149837, 0.02505292661635098
shanghai_license, 160.51871657754012, 0.04113072818552094
uk_coal_employ, 87.09565217391304, 0.02230533276431321
unemployment_nl, 38.132147395171536, 0.009761244051746195
us_population, 535.578947368421, 0.1371212895451687
usd_isk, 162.7945945945946, 0.04175452525481199
well_log, 217.0431654676259, 0.05562267980499626
