dataset, time(ms), energy(J)
apple, 233.89922480620154, 0.05959950714657666
bank, 215.30714285714285, 0.05518204069923221
bee_waggle_6, 360.5952380952381, 0.09174479490041319
bitcoin, 213.18439716312056, 0.054768413053462216
brent_spot, 446.19117647058823, 0.11446253059474497
businv, 986.258064516129, 0.25356236361122064
centralia, 8.189137554585153, 0.002103230540133333
children_per_woman, 439.2028985507246, 0.11262727861469392
co2_canada, 163.0, 0.04179564562121389
construction, 166.25414364640883, 0.04271514818249555
debt_ireland, 17.96289646918013, 0.004617849041374217
gdp_argentina, 70.28103044496487, 0.018050288827718367
gdp_croatia, 13.312777284826975, 0.0034176468916315267
gdp_iran, 70.55868544600939, 0.01811254933162984
gdp_japan, 19.321957501609788, 0.004951333457172731
global_co2, 153.51530612244898, 0.03936427234510825
homeruns, 272.8545454545455, 0.07009521875195125
iceland_tourism, 121.93927125506073, 0.031337289178791916
jfk_passengers, 144.19617224880383, 0.03696872217260012
lga_passengers, 276.1743119266055, 0.07090948068907224
measles, 318.9263157894737, 0.08190539437853563
nile, 163.98360655737704, 0.042096465303388196
occupancy, 828.3513513513514, 0.21102240605845557
ozone, 25.94554883318928, 0.006651453198221791
quality_control_1, 143.8181818181818, 0.036951322960734154
quality_control_2, 186.54658385093168, 0.047932524124634654
quality_control_3, 168.85393258426967, 0.04342112621541449
quality_control_4, 180.1317365269461, 0.04624017231776498
quality_control_5, 202.75, 0.05196627574207161
rail_lines, 76.97948717948718, 0.019805814830149943
ratner_stock, 469.96875, 0.12050432274946843
robocalls, 70.10981308411215, 0.018022544347654858
run_log, 175.57309941520467, 0.04493581703971688
scanline_126007, 367.9268292682927, 0.09462097828511504
scanline_42049, 746.439024390244, 0.19207335245340712
seatbelts, 96.51446945337621, 0.02479207934707602
shanghai_license, 154.1076923076923, 0.03949918131057086
uk_coal_employ, 38.9260700389105, 0.010004295150021563
unemployment_nl, 206.46575342465752, 0.05299119713943159
us_population, 386.0, 0.09903655424181451
usd_isk, 378.6625, 0.09711647670346793
well_log, 569.7169811320755, 0.14627038904709821
