dataset,f1,cover
apple,0.9285714285714287,0.7948180228548158
bank,1.0,1.0
bee_waggle_6,0.9285714285714287,0.8911284212456287
bitcoin,0.7146171693735499,0.7152040640085138
brent_spot,0.4427187708750835,0.2792130104705519
businv,0.27027027027027023,0.5169809531384335
centralia,0.9090909090909091,0.7533333333333333
children_per_woman,0.36537050623624356,0.37695602539463313
co2_canada,0.704034941763727,0.4645430356794781
construction,0.5882352941176471,0.37709777062042676
debt_ireland,0.7603305785123966,0.6346153846153847
gdp_argentina,0.888888888888889,0.7202762084118015
gdp_croatia,0.8235294117647058,0.7083333333333333
gdp_iran,0.6052631578947368,0.5518787481259371
gdp_japan,1.0,0.7310344827586206
global_co2,0.7536231884057971,0.5983275546954792
homeruns,0.7272727272727272,0.5221516618974247
iceland_tourism,0.6428571428571429,0.6472637158394713
jfk_passengers,0.391304347826087,0.2666666666666667
lga_passengers,0.5646078059871164,0.469412024335628
measles,0.6428571428571429,0.7488005687551601
nile,1.0,0.8879999999999999
occupancy,0.8632415325567303,0.5915283229432784
ozone,0.53125,0.6096296296296295
quality_control_1,0.6666666666666666,0.5031081260398699
quality_control_2,0.7500000000000001,0.6382524441558766
quality_control_3,0.6666666666666666,0.5002717310161545
quality_control_4,0.4207317073170731,0.26105950000000006
quality_control_5,1.0,1.0
rail_lines,0.9655172413793104,0.7847490347490347
ratner_stock,0.2910602910602911,0.3014656862745098
robocalls,0.846153846153846,0.6618589743589743
run_log,0.24454148471615722,0.536132477192415
scanline_126007,0.6756238003838771,0.4911443441425667
scanline_42049,0.49042145593869724,0.645808837735521
seatbelts,0.6829268292682926,0.6930003156565656
shanghai_license,0.7131782945736433,0.6793691782981285
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.5742574257425742,0.39525970413733724
us_population,0.2666666666666667,0.12352941176470589
usd_isk,0.6495049504950495,0.6693490258587211
well_log,0.5448666127728375,0.6465966415433554
