dataset,f1,cover
apple,0.6153846153846154,0.42448483525525554
bank,1.0,1.0
bee_waggle_6,0.9285714285714287,0.8911284212456287
bitcoin,0.36708860759493667,0.7639491875517986
brent_spot,0.27184466019417475,0.47371791169191935
businv,0.3703703703703703,0.5587758214371392
centralia,0.9090909090909091,0.7533333333333333
children_per_woman,0.40476190476190477,0.681811949586036
co2_canada,0.7697375645108159,0.561087496379664
construction,0.5161290322580646,0.5587173346751462
debt_ireland,0.9583333333333333,0.8322751322751323
gdp_argentina,0.888888888888889,0.7202762084118015
gdp_croatia,1.0,0.8016666666666665
gdp_iran,0.651685393258427,0.582639714625446
gdp_japan,1.0,0.7310344827586206
global_co2,0.888888888888889,0.748818108974359
homeruns,0.8118811881188119,0.6938028443405415
iceland_tourism,0.6428571428571429,0.7747718182750487
jfk_passengers,0.723404255319149,0.6298433048433048
lga_passengers,0.42196531791907516,0.4298107160135462
measles,0.6428571428571429,0.908195911598629
nile,0.5833333333333333,0.7175999999999999
occupancy,0.8578122711963685,0.6081765503195098
ozone,0.9655172413793104,0.8518518518518519
quality_control_1,0.5,0.7891280292994624
quality_control_2,0.4285714285714286,0.707705056443291
quality_control_3,0.5,0.6065573770491803
quality_control_4,0.7804878048780489,0.6727407999999999
quality_control_5,0.4,0.8523076923076923
rail_lines,1.0,0.6329137961490903
ratner_stock,0.6126126126126127,0.8642242808847385
robocalls,0.7741935483870969,0.6191642074890156
run_log,0.7194444444444444,0.6252012979057376
scanline_126007,0.65234375,0.5007529207078806
scanline_42049,0.3668314113124657,0.48357230924591266
seatbelts,0.8235294117647058,0.626642156862745
shanghai_license,0.5581395348837209,0.394397212543554
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.7894736842105262,0.492448039061563
us_population,0.38095238095238093,0.5012254901960784
usd_isk,0.7854251012145749,0.8577019651513579
well_log,0.5065710872162486,0.519502452202272
