dataset,f1,cover
apple,0.59375,0.4246265030345013
bank,1.0,1.0
bee_waggle_6,0.9285714285714287,0.8911284212456287
bitcoin,0.44961240310077516,0.5162283249537621
brent_spot,0.6007326007326007,0.4686118760213304
businv,0.5882352941176471,0.46094765840220386
centralia,0.9090909090909091,0.7533333333333333
children_per_woman,0.47183098591549294,0.6953808852646063
co2_canada,0.3057851239669422,0.4479791997688863
construction,0.7500000000000001,0.7848210649848392
debt_ireland,0.9583333333333333,0.8322751322751323
gdp_argentina,0.888888888888889,0.7202762084118015
gdp_croatia,1.0,0.8016666666666665
gdp_iran,0.7819148936170214,0.5327676950998186
gdp_japan,1.0,0.7310344827586206
global_co2,1.0,0.6446617030312682
homeruns,0.7368421052631579,0.5259444473884582
iceland_tourism,0.9473684210526316,0.9460215651119921
jfk_passengers,0.723404255319149,0.6298433048433048
lga_passengers,0.6108949416342412,0.3678290664134951
measles,0.9473684210526316,0.9511852891971232
nile,1.0,0.8879999999999999
occupancy,0.6286010900596938,0.49935980517484424
ozone,0.9655172413793104,0.8518518518518519
quality_control_1,0.6666666666666666,0.5031081260398699
quality_control_2,0.7500000000000001,0.6382524441558766
quality_control_3,0.6666666666666666,0.5002717310161545
quality_control_4,0.7804878048780489,0.6727407999999999
quality_control_5,1.0,1.0
rail_lines,0.9655172413793104,0.7401247401247402
ratner_stock,0.6153846153846154,0.8169262162452057
robocalls,0.8,0.6679881656804734
run_log,0.5222929936305732,0.5674535842266641
scanline_126007,0.5608732157850547,0.6175288928304201
scanline_42049,0.5864427114577085,0.6511590182731917
seatbelts,0.8571428571428571,0.7759506353485283
shanghai_license,0.3888888888888889,0.4331891394385642
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.6577181208053692,0.5607902703202189
us_population,0.888888888888889,0.8033761053440983
usd_isk,0.8483685220729367,0.8407211723545662
well_log,0.3870967741935484,0.6358229433368208
