dataset, time(ms), energy(J)
apple,6.990999650471863,0.022550028504937283
bank,12.6051606805293,0.041270345710524764
bee_waggle_6,12.27659509202454,0.03974412886737067
bitcoin,12.67871989860583,0.04087885693693334
brent_spot,45.499590909090905,0.14633071978681653
businv,11.04710104914412,0.035584028746137024
centralia,0.3492627130483375,0.0011233698055284017
children_per_woman,26.362384716732542,0.08743803289890174
co2_canada,4.580377833753149,0.014748029171323953
construction,27.04162162162162,0.08691956925793272
debt_ireland,0.7133336899921535,0.002294756974966405
gdp_argentina,0.9700053348853,0.00312324838470017
gdp_croatia,0.6687398020596496,0.002149729123893079
gdp_iran,5.583606923506421,0.01848584018448616
gdp_japan,1.035956697399772,0.0033320121404516742
global_co2,8.905017809439002,0.028671426182426026
homeruns,1.992805619208927,0.0064178037828194825
iceland_tourism,11.187343400447428,0.036043504113260634
jfk_passengers,7.686729438893159,0.024734104118595203
lga_passengers,13.620074880871341,0.04489366901867121
measles,31.20276131045242,0.1004144380999726
nile,2.186742101235378,0.007045578335606311
occupancy,16.0774115755627,0.051777796288397994
ozone,1.371174333310482,0.004409815603526395
quality_control_1,14.272303851640514,0.04690104267278581
quality_control_2,11.118010005558643,0.035810998263001055
quality_control_3,21.988186813186815,0.07076718460953638
quality_control_4,10.330056788848735,0.03333544554602942
quality_control_5,11.191599552572708,0.03600258951635591
rail_lines,1.3623826714801444,0.004383093889246476
ratner_stock,8.746576300830782,0.028973484515754287
robocalls,3.0246605171631638,0.009731073900984011
run_log,9.031069977426636,0.02906566348661546
scanline_126007,8.09751012145749,0.02608883909526802
scanline_42049,14.400849532037435,0.046281258057820476
seatbelts,4.561888255416192,0.014694846241645387
shanghai_license,2.8690661311146175,0.00949622421496436
uk_coal_employ,5.566392986362371,0.017909747702026732
unemployment_nl,3.2273636656986127,0.010394796984901483
us_population,38.29518164435947,0.12317583218684783
usd_isk,6.828880163878457,0.02195402718502793
well_log,10.292926954732511,0.03328747531755174
