dataset, time(ms), energy(J)
apple,16.10902576489533,0.05193188837792195
bank,21.827862595419848,0.07024759664675682
bee_waggle_6,9.839375307427447,0.03260472609522056
bitcoin,14.481121562952243,0.046581867885949896
brent_spot,12.605198487712666,0.04064846984175692
businv,9.053049773755657,0.02915881583295927
centralia,0.6171629586200512,0.0019863200882435286
children_per_woman,11.761352145796591,0.0381575472979402
co2_canada,5.314280021253985,0.017373728277354093
construction,13.708896504455106,0.04427487809685414
debt_ireland,0.6776999186771483,0.002181105526851747
gdp_argentina,0.9226160162376603,0.0029718392922503506
gdp_croatia,1.8189696253182974,0.005863146927821038
gdp_iran,1.9251236885167005,0.0063759626780906286
gdp_japan,3.459379107575234,0.0111395607361881
global_co2,1.9548851529664744,0.0062945881638057245
homeruns,8.144894136807817,0.026201036035788126
iceland_tourism,12.601882871536525,0.04063348267043588
jfk_passengers,9.276669758812616,0.02985759399012608
lga_passengers,37.35748134328358,0.12363161643610401
measles,14.148981612446958,0.04566030086000568
nile,8.573827689669953,0.027610550508005594
occupancy,16.654621149042466,0.0537502957520763
ozone,3.194494489698131,0.010283637847104688
quality_control_1,26.885443548387098,0.08650523748458723
quality_control_2,12.969773169151004,0.04290735163257648
quality_control_3,16.72623745819398,0.053852645116604134
quality_control_4,34.63074394463668,0.11144131593936715
quality_control_5,10.19076923076923,0.03282292790577965
rail_lines,1.2566009047499374,0.00404787115170251
ratner_stock,20.956397905759165,0.06837243348983585
robocalls,3.4048655090228124,0.011081893175065683
run_log,5.784277038750723,0.018620756802471564
scanline_126007,18.340843263061412,0.05908095132580132
scanline_42049,8.705187119234116,0.028016700452413276
seatbelts,8.877097203728361,0.028615572975481965
shanghai_license,9.136050228310502,0.030244807971624942
uk_coal_employ,2.427364077669903,0.007814549602176379
unemployment_nl,5.790903300521134,0.018660000945537245
us_population,19.05867619047619,0.06140267485281497
usd_isk,13.322070572569906,0.04284580566953435
well_log,15.714092694422625,0.05063521618528362
