dataset, time(ms), energy(J)
apple,23.127260115606937,0.074425146290304
bank,22.052006615214992,0.0729328350625117
bee_waggle_6,15.496808675445392,0.04985571355228735
bitcoin,18.625689013035384,0.05987304164370625
brent_spot,16.23314679643147,0.05210208491155179
businv,65.57068627450981,0.2106473292044588
centralia,0.9329382405075101,0.0029956893809215345
children_per_woman,15.110626888217524,0.04993463888525176
co2_canada,28.22685472496474,0.09072943555027743
construction,71.2106049822064,0.2290112515986032
debt_ireland,1.398537864485001,0.004491914552187097
gdp_argentina,1.5069703134418324,0.004840784485228967
gdp_croatia,0.5732718986470994,0.0018424899355651825
gdp_iran,8.129244209670865,0.026731731402379423
gdp_japan,1.7470093457943925,0.005612931566360943
global_co2,14.165021246458922,0.04552886342082568
homeruns,5.212170401250652,0.016759773340828177
iceland_tourism,15.049277652370204,0.048405115526853705
jfk_passengers,25.604130434782608,0.08391861674217138
lga_passengers,29.93881913303438,0.09646818266938505
measles,40.829142857142855,0.13142150501611913
nile,25.89880983182406,0.08324505677051017
occupancy,30.463866057838658,0.0978264421412263
ozone,1.1176848281642917,0.003590774519981772
quality_control_1,8.223898026315789,0.027168589117114773
quality_control_2,9.110610200364299,0.029263869057627373
quality_control_3,9.817772325809617,0.031543303234442696
quality_control_4,20.630979381443296,0.06620171612134466
quality_control_5,26.400145118733512,0.08473738170041759
rail_lines,3.8875471331389697,0.012479489386421438
ratner_stock,16.477751235584844,0.05447357585387317
robocalls,4.555629697107721,0.014625418686078676
run_log,13.997998600419873,0.04499097864523061
scanline_126007,28.334079320113315,0.09094226994812375
scanline_42049,108.85271739130435,0.3496339589640268
seatbelts,6.394606777493607,0.020629249625021762
shanghai_license,11.030060639470783,0.03613222459779954
uk_coal_employ,4.451927442688627,0.01429858163409593
unemployment_nl,76.99830769230769,0.24696524554246235
us_population,160.79312,0.516732130933553
usd_isk,62.97103773584906,0.2024063965857652
well_log,144.13352517985612,0.4746518340953182
