dataset, time(ms), energy(J)
bank,276.7698630136986,0.8200188867592415
bitcoin,425.58042553191484,1.2654150121683232
brent_spot,221.6479120879121,0.6635681442135781
businv,124.23776397515527,0.3762583317012591
centralia,3.938190588698563,0.011530658156990536
children_per_woman,109.68956284153005,0.3261907286578257
co2_canada,71.1844128113879,0.21099794668858113
construction,119.1447619047619,0.3544403318381372
debt_ireland,5.5066519823788544,0.016645758483259818
gdp_argentina,16.038309294871794,0.04721613890741967
gdp_croatia,6.301773787019534,0.018472737724346804
gdp_iran,15.72498427672956,0.04626863865039766
gdp_japan,15.729064465408804,0.0462452009838599
global_co2,29.656014814814817,0.08754069113353025
homeruns,34.240854700854705,0.10455024921048366
iceland_tourism,64.68109677419355,0.19211855537076286
jfk_passengers,199.44762376237622,0.5964304451848479
lga_passengers,199.0281188118812,0.5963208345673602
measles,674.3143333333334,2.0235672400403852
nile,28.343243626062325,0.08391243744059046
ozone,14.583768221574344,0.04435704030000555
quality_control_1,115.02356321839079,0.3433440930202582
quality_control_2,100.8332663316583,0.3011628685327463
quality_control_3,142.59659574468085,0.4259433035365499
quality_control_4,220.1324175824176,0.6600395064187479
quality_control_5,120.8393373493976,0.3642649402395501
rail_lines,9.836489675516223,0.029482982796586177
ratner_stock,288.22671428571425,0.8647992640098274
robocalls,13.99888733379986,0.04132019095560094
scanline_126007,208.26515463917528,0.6239290839387898
scanline_42049,207.6361855670103,0.6220047189089407
seatbelts,61.93133126934985,0.19012959032524765
shanghai_license,66.8728,0.1994970093048255
uk_coal_employ,29.808479880774964,0.08844780800544856
unemployment_nl,70.65767605633802,0.21061339120648537
us_population,458.5265909090909,1.37562916824809
usd_isk,84.65278481012658,0.2519502307503619
well_log,344.84620689655173,1.0639488525284049
