dataset, time(ms), energy(J)
apple,8.53205117270789,0.027452496529213895
bank,13.563159322033899,0.044875345919749864
bee_waggle_6,44.59786191536748,0.14363744368162257
bitcoin,22.343035714285715,0.07174106711690749
brent_spot,25.052753441802256,0.08042285998866708
businv,73.66944852941177,0.23656292288914677
centralia,0.4195714105899136,0.0013483872756449803
children_per_woman,26.761778074866314,0.08811585593761713
co2_canada,20.568026721479956,0.06611416803211735
construction,74.77339552238806,0.24006877404834953
debt_ireland,1.3248135391137312,0.004255598527069442
gdp_argentina,1.1158792680205312,0.003588296142646084
gdp_croatia,1.8358830548926015,0.00601857586111664
gdp_iran,2.5342448048656867,0.008169155271379031
gdp_japan,1.1665581802274716,0.00374893521035203
global_co2,4.691874266948158,0.015082020185528204
homeruns,10.388296988577363,0.03333802680172953
iceland_tourism,34.96961538461538,0.11248781726182414
jfk_passengers,12.526268002504697,0.04136238135549696
lga_passengers,49.23614250614251,0.15817913726117766
measles,33.519095477386934,0.10761314146008864
nile,6.111017415215399,0.019633419675034094
occupancy,47.69702380952381,0.15330670461681578
ozone,1.572086149976419,0.00504961486313712
quality_control_1,22.455858585858582,0.07423707296182759
quality_control_2,17.502764654418197,0.056131413946804286
quality_control_3,12.804699103713187,0.04107852168481922
quality_control_4,10.468011512297226,0.03362881979442667
quality_control_5,26.982169811320755,0.08647664294026966
rail_lines,1.9434632202895734,0.006262076371778811
ratner_stock,21.526150537634408,0.07059916861333242
robocalls,2.7696441428967042,0.008896482184085687
run_log,11.841610420367081,0.03805431997324893
scanline_126007,20.75319502074689,0.06661182691643708
scanline_42049,34.546269430051815,0.11097771903927822
seatbelts,4.387385391533231,0.014449050640001916
shanghai_license,21.34665955176094,0.06863357811958139
uk_coal_employ,8.609457831325301,0.027693372330540148
unemployment_nl,44.25902654867257,0.1424126603861116
us_population,92.00926605504587,0.29608943581415836
usd_isk,19.65957760314342,0.0630924256124395
well_log,49.54571782178218,0.16351256388938198
